tipo;ticker_ars;ticker_mep;ticker_ccl;ticker_usa;nombre;mercado;ratio;vigente
BONOS;PMY24;;;;TITULOS DE DEUDA PUBLICA DE LA PROVINCIA DE MENDOZA CON VENCIMIENTO EN 2024;BCBA;1;True
BONOS;PR13;;;;BONOS DE CONSOLIDACION - SEXTA SERIE 15/03/2024;BCBA;1;True
BONOS;PUL26;;;;TITULOS DE DEUDA GARANTIZADOS AMORTIZABLES A TASA DE INTERES INCREMENTAL CON VENCIMIENTO EN 2030 - (BOCADE);BCBA;1;True
BONOS;RIF25;;;;TITULOS DE DEUDA A TASA INCREMENTAL CON VENCIMIENTO EN 2028;BCBA;1;True
BONOS;RND25;;;;TITULOS DE DEUDA DE INCREMENTO ESCALONADO CON VENCIMIENTO 2028;BCBA;1;True
BONOS;SA24D;S24DD;;;TITULOS DE DEUDA A TASA INCREMENTAL CON VENCIMIENTO EN 2027;BCBA;1;True
BONOS;T2V4;;;;BONO DEL TESORO NACIONAL VINCULADO AL DOLAR ESTADOUNIDENSE VENCIMIENTO 30 DE SEPTIEMBRE DE 2024;BCBA;1;True
BONOS;T2X4;;;;BONO DEL TESORO NACIONAL EN PESOS AJUSTADO POR CER 1,55% VENCIMIENTO 26 DE JULIO DE 2024;BCBA;1;True
BONOS;TC25P;;;;BONOS DEL TESORO NACIONAL EN PESOS CON AJUSTE POR CER 4% VTO.2025 (BONCER 2025);BCBA;1;True
BONOS;TDA24;;;;BONO NACION MONEDA DUAL 30/04/2024;BCBA;1;True
BONOS;TDF24;;;;BONO DE LA NACION ARGENTINA EN MONEDA DUAL VENCIMIENTO 28 DE FEBRERO DE 2024;BCBA;1;True
BONOS;TDG24;;;;BONO DE LA NACION ARGENTINA EN MONEDA DUAL VENCIMIENTO 30 DE AGOSTO DE 2024;BCBA;1;True
BONOS;TDS23;;;;BONO DE LA NACION ARGENTINA EN MONEDA DUAL VENCIMIENTO SEPTIEMBRE DE 2023;BCBA;1;True
BONOS;TFU27;;;;TITULOS GARANTIZADOS AL 8.95% CON VENCIMIENTO EN 2027;BCBA;1;True
BONOS;TO23;TO23D;;;BONOS DEL TESORO NACIONAL EN PESOS A TASA FIJA VENCIMIENTO 17 DE OCTUBRE DE 2023;BCBA;1;True
BONOS;TO26;TO26D;;;BONOS DEL TESORO NACIONAL EN PESOS A TASA FIJA VENCIMIENTO 17 DE OCTUBRE DE 2026;BCBA;1;True
BONOS;TV24;TV24D;;;BONO DEL TESORO NACIONAL VINCULADO AL DOLAR ESTADOUNIDENSE 0,40% VENCIMIENTO 30 DE ABRIL DE 2024;BCBA;1;True
BONOS;TX24;;;;BONOS DEL TESORO EN PESOS AJUSTADO POR CER 1,50% VENCIMIENTO 25 DE MARZO DE 2024;BCBA;1;True
BONOS;TX25;;;;BONO DEL TESORO NACIONAL EN PESOS AJUSTADO POR CER 1,80% VENCIMIENTO 9 DE NOVIEMBRE DE 2025;BCBA;1;True
BONOS;TX26;;;;BONOS DEL TESORO NACIONAL EN PESOS CON AJUSTE POR CER 2% VTO. 2026;BCBA;1;True
BONOS;TX28;;;;BONOS DEL TESORO NACIONAL EN PESOS CON AJUSTE POR CER 2,25% VTO 2028;BCBA;1;True
BONOS;TX31;;;;BONOS DEL TESORO NACIONAL EN PESOS AJUSTADO POR CER 2,50% VENCIMIENTO 30 DE NOVIEMBRE DE 2031;BCBA;1;True
